"signature","type","channel","fraction"
"CN9","2","2:LOH:>40Mb",0.00240730454449305
"CN9","3-4","3-4:LOH:0-100kb",0.00183352908533829
"CN9","3-4","3-4:LOH:100kb-1Mb",0.00284860454086671
"CN9","3-4","3-4:LOH:1Mb-10Mb",0.0034435099891423
"CN9","3-4","3-4:LOH:10Mb-40Mb",0.00139000727285068
"CN9","3-4","3-4:LOH:>40Mb",0.00119860090544375
"CN9","5-8","5-8:LOH:0-100kb",0.000375937273354491
"CN9","5-8","5-8:LOH:100kb-1Mb",0.000836165453962273
"CN9","5-8","5-8:LOH:1Mb-10Mb",0.000661617270461018
"CN9","5-8","5-8:LOH:10Mb-40Mb",0.0003764863605223
"CN9","5-8","5-8:LOH:>40Mb",0.000382634545020873
"CN9","9+","9+:LOH:0-100kb",0.000759423639521455
"CN9","9+","9+:LOH:100kb-1Mb",0.00123437363785347
"CN9","9+","9+:LOH:1Mb-10Mb",0.000574561822044091
"CN9","9+","9+:LOH:10Mb-40Mb",1.01900000202091e-05
"CN9","9+","9+:LOH:>40Mb",4.5545454236e-06
"CN9","2","2:het:0-100kb",0.00281376272353549
"CN9","2","2:het:100kb-1Mb",0.0574567342539272
"CN9","2","2:het:1Mb-10Mb",0.159920320844107
"CN9","2","2:het:10Mb-40Mb",0.129543643222982
"CN9","2","2:het:>40Mb",0.00676787108794292
"CN9","3-4","3-4:het:0-100kb",0.00668677815846478
"CN9","3-4","3-4:het:100kb-1Mb",0.0674713176760732
"CN9","3-4","3-4:het:1Mb-10Mb",0.0435108642709374
"CN9","3-4","3-4:het:10Mb-40Mb",0.00753037545756695
"CN9","3-4","3-4:het:>40Mb",0.00287618460786981
"CN9","5-8","5-8:het:0-100kb",0.00171967180297676
"CN9","5-8","5-8:het:100kb-1Mb",0.0013502100115523
"CN9","5-8","5-8:het:1Mb-10Mb",0.00113610546830412
"CN9","5-8","5-8:het:10Mb-40Mb",0.000468091818196755
"CN9","5-8","5-8:het:>40Mb",0.0004135518118722
"CN9","9+","9+:het:0-100kb",0.00168183001348604
"CN9","9+","9+:het:100kb-1Mb",0.0042520609300749
"CN9","9+","9+:het:1Mb-10Mb",0.000808817272958828
"CN9","9+","9+:het:10Mb-40Mb",3.11663634345182e-05
"CN9","9+","9+:het:>40Mb",2.92863633713909e-05
"CN10","0","0:homdel:0-100kb",0.0077952399220476
"CN10","0","0:homdel:100kb-1Mb",0.0312253196877468
"CN10","0","0:homdel:>1Mb",0.0045588099544119
"CN10","1","1:LOH:0-100kb",0.0087975299120247
"CN10","1","1:LOH:100kb-1Mb",0.0397452296025477
"CN10","1","1:LOH:1Mb-10Mb",0.0109152498908475
"CN10","1","1:LOH:10Mb-40Mb",0.0029042799709572
"CN10","1","1:LOH:>40Mb",0.0014839799851602
"CN10","2","2:LOH:0-100kb",0.0063572599364274
"CN10","2","2:LOH:100kb-1Mb",0.0878235391217646
"CN10","2","2:LOH:1Mb-10Mb",0.131910498680895
"CN10","2","2:LOH:10Mb-40Mb",0.0870698291293017
"CN10","2","2:LOH:>40Mb",0.0159339498406605
"CN10","3-4","3-4:LOH:0-100kb",0.0074381199256188
"CN10","3-4","3-4:LOH:100kb-1Mb",0.068455299315447
"CN10","3-4","3-4:LOH:1Mb-10Mb",0.0964666390353336
